case_id,customer_query,true_intent,true_escalate,reference_criteria
case_2227056,can't cancel the membership either as they blocked my account. Unacceptable to block someone yet still charge prime membership!,ACCOUNT_ACCESS_AND_SECURITY,False,Guide the user through account recovery steps or provide a link to the account security team.
case_1240066,If I'm ordering an item that's supplied from Amazon Warehouse (from USA to Canada) will there be an import charge/fee?,ORDER_TRACKING_AND_DELIVERY_STATUS,False,Provide the current tracking status and apologize for any delivery delays.
case_2787780,"when will the returns be fixed on the website? I've been trying to return an item for a week now. I get an error message every time I hit ""return""",REFUND_AND_RETURN_REQUEST,False,Provide clear instructions or a direct link for processing the return or refund.
case_2382519,why was I charged $15 for a one month trial of prime?,SUBSCRIPTION_AND_DIGITAL_SERVICES,False,Assist the user with their subscription or digital service query by providing relevant links or steps.
case_755717,Need to get a refund of this product that I returned. ResQTech Pressure Washer. [LINK],REFUND_AND_RETURN_REQUEST,False,Provide clear instructions or a direct link for processing the return or refund.
case_2677995,Hi can you please stop sending me payment declined emails. I’ve updated my payment method and received &amp; paid for the product!,PAYMENT_AND_PROMOTIONAL_PRICING,False,"Clarify the billing concern, promotional terms, or payment status clearly."
case_1085952,"need to return an item because it's the wrong size but can't contact seller to find out procedure, advice?",REFUND_AND_RETURN_REQUEST,False,Provide clear instructions or a direct link for processing the return or refund.
case_107337,"hello, my partner has ordered some things &amp; they still havent arrived although when she checks her account it says they have been delivered,order number 202-1745465-0997939. also 2 extra payments have gone out of her bank account adding up to £19.99, any ideas? thanks",PACKAGE_DAMAGED_OR_MISSING,False,Apologize for the issue and offer a prompt replacement or investigation into the missing item.
case_2570095,". ¿Os parece normal que reciba un paquete así? Sin caja, con una pegatina en la caja propia del juguete y encima rota la caja? [LINK]",SERVICE_COMPLAINT_AND_AGENT_FEEDBACK,False,"Acknowledge the negative experience, apologize sincerely, and ask for further details to improve service."
case_2226757,someone from amazon called and Spoke Hindi then hung up. Regarding the bag issue,SERVICE_COMPLAINT_AND_AGENT_FEEDBACK,False,"Acknowledge the negative experience, apologize sincerely, and ask for further details to improve service."
case_564883,"Hi. An item I ordered is showing as delivered on 29/11/2017, except there is no sign of the parcel and no note saying where the delivery is. How can I find out what's happened?",PACKAGE_DAMAGED_OR_MISSING,False,Apologize for the issue and offer a prompt replacement or investigation into the missing item.
case_2807303,where did my check out button go? So frustrating! Have been trying to check out for 30 minutes! [LINK],SERVICE_COMPLAINT_AND_AGENT_FEEDBACK,False,"Acknowledge the negative experience, apologize sincerely, and ask for further details to improve service."
case_752380,hello i just received this email its look my amzon account hacked i hope can i get my account back [LINK],ACCOUNT_ACCESS_AND_SECURITY,True,Immediately escalate to the appropriate specialized team (fraud/security/legal) and empathize with the user's distress.
case_1677127,"Hey , I don't like being lied to. Don't have your people promise refunds for sending me damaged books, then go back on their word",REFUND_AND_RETURN_REQUEST,False,Provide clear instructions or a direct link for processing the return or refund.
case_557042,I get back home to an item which has been delivered. How disappointed are my class of 30 children going to be with a BRAND NEW story book which is noticeably damaged? ☹️ [LINK],SERVICE_COMPLAINT_AND_AGENT_FEEDBACK,False,Apologize for the issue and offer a prompt replacement or investigation into the missing item.
case_295314,", your proceed to checkout button isn't working on MacBook chrome. I NEED TO BUY THE ADVIL TABLETS. Jk but I'm kind of serious.",SERVICE_COMPLAINT_AND_AGENT_FEEDBACK,False,"Acknowledge the negative experience, apologize sincerely, and ask for further details to improve service."
case_2570139,what is the procedure in getting a refund,REFUND_AND_RETURN_REQUEST,False,Provide clear instructions or a direct link for processing the return or refund.
case_2905136,"Who do I contact when my packages were purposefully ripped open and they arrived like this? Almost fully ripped across, where hands can get in? How do I prove items are missing upon opening them? [LINK]",PACKAGE_DAMAGED_OR_MISSING,False,Apologize for the issue and offer a prompt replacement or investigation into the missing item.
case_1030263,wann kommt die neue folge von Ouat Staffel 7 OV/OmU ?,SERVICE_COMPLAINT_AND_AGENT_FEEDBACK,False,"Acknowledge the negative experience, apologize sincerely, and ask for further details to improve service."
case_69952,"So, we own Past Perfect Music label, the trademark &amp; distrib/manuf. keep saying ""due to our inability to verify info provided &amp; info re...prior selling history &amp; listings...your (music) listings affected...are inactive"" Why? Loads of our CDs stuck waiting FBA",ORDER_TRACKING_AND_DELIVERY_STATUS,False,Provide the current tracking status and apologize for any delivery delays.
case_2537496,Plz refund amt  Id P04-3502126-3246225,REFUND_AND_RETURN_REQUEST,False,Provide clear instructions or a direct link for processing the return or refund.
case_1732581,your outsourced business process team manning the AMAZON chat is useless and unilaterally closed my chat request without adequate resolution of my order 114-7761640-6439427 mysterious cancellation. HORRENDOUS SERVICE,SERVICE_COMPLAINT_AND_AGENT_FEEDBACK,False,Provide the current tracking status and apologize for any delivery delays.
case_1274801,"My order got cancelled without any reason. order no 402-5632050-1212327. Can you please update, why?",ORDER_TRACKING_AND_DELIVERY_STATUS,False,Provide the current tracking status and apologize for any delivery delays.
case_2644144,"hello, my prime account got blocked. no apparent reason and no instructions to fix. waiting on an urgent package.",ACCOUNT_ACCESS_AND_SECURITY,False,Guide the user through account recovery steps or provide a link to the account security team.
case_2598548,I had raised the return request on 14 November of my order - ORDER # 171-4736243-6810751. but still no once show up. Still waiting for the person to pick up the product.  could you please look into it,REFUND_AND_RETURN_REQUEST,False,Provide clear instructions or a direct link for processing the return or refund.
case_2686015,Another #prime delivery that has failed to turn up on the specified day not like i need this order for my holiday tomorrow,ORDER_TRACKING_AND_DELIVERY_STATUS,False,Provide the current tracking status and apologize for any delivery delays.
case_2762137,"hii i need your help,, i ordered a moto g plus 8 to 9 months ago.i am in service centre right now they are asking for the invoice..i just have the imei number..can u help??",ORDER_TRACKING_AND_DELIVERY_STATUS,False,Provide the current tracking status and apologize for any delivery delays.
case_853895,Why are two of my orders being cancelled due to being 'damaged in transit and will not be delivered' - you have taken the money.,PACKAGE_DAMAGED_OR_MISSING,False,Apologize for the issue and offer a prompt replacement or investigation into the missing item.
case_2367997,why did I get charged $40 for cancelling my prime membership? I cancelled it because I didn't have $10.99. this is unacceptable,SUBSCRIPTION_AND_DIGITAL_SERVICES,False,Assist the user with their subscription or digital service query by providing relevant links or steps.
case_2974989,"if i order the Limited Edition Destiny 2 Ghost, do i get charged today or a couple of days before it comes out since it comes out on the 19th of december",ORDER_TRACKING_AND_DELIVERY_STATUS,False,Provide the current tracking status and apologize for any delivery delays.
case_2978871,Not holding out much hope of this arriving today now guys... where's it gone? [LINK],SERVICE_COMPLAINT_AND_AGENT_FEEDBACK,False,"Acknowledge the negative experience, apologize sincerely, and ask for further details to improve service."
case_2735647,"I got a call back from today regarding my misdelivered packages. I didn't get the name of the rep who spoke with me, but he was super helpful! Thank you folks!!",PACKAGE_DAMAGED_OR_MISSING,False,Apologize for the issue and offer a prompt replacement or investigation into the missing item.
case_463409,y’all got 1 (one) hour left to deliver this I got two day shipping it was supposed to be here yesterday I hope I get a refund for paying extra on that two day shipping cost,REFUND_AND_RETURN_REQUEST,False,Provide clear instructions or a direct link for processing the return or refund.
case_427310,this is the third time its happening your delivery agents are not responding and even the customer service is worst.,SERVICE_COMPLAINT_AND_AGENT_FEEDBACK,False,Provide the current tracking status and apologize for any delivery delays.
case_2514026,Hi guys. Is there anyway to find if if you post to a specific address? I am away shortly and want to make drinks orders.,ORDER_TRACKING_AND_DELIVERY_STATUS,False,Provide the current tracking status and apologize for any delivery delays.
case_379912,"Hi, I'm still waiting for my purchase number 408-3051320-116676. (France)",ORDER_TRACKING_AND_DELIVERY_STATUS,False,Provide the current tracking status and apologize for any delivery delays.
case_2141296,I am trying to sell a few items on your site but it keeps trying to sell me a 39.99 a month plan like i am a business i just want the single individual plan,PRODUCT_AVAILABILITY_AND_INQUIRY,False,"Provide details on product availability, features, or direct the user to the correct catalog page."
case_2807531,. I don't want the bloody refund. Get me the book for which I had waited for a month and still u assured me that I ll get it . After having waiting for a month and u assuring me that it ll b delivered in the stipulated time . The very next u do this [LINK],REFUND_AND_RETURN_REQUEST,False,Provide clear instructions or a direct link for processing the return or refund.
case_1225764,I preordered the Xbox One X and selected one day shipping. Microsoft says that it releases 11/7 but there is still no release/delivery date on my order. Trying to make sure I am home that day. Help?,ORDER_TRACKING_AND_DELIVERY_STATUS,False,Provide the current tracking status and apologize for any delivery delays.
case_1221815,You don't care your customers ..You make cry us...give me your ceo email id i want to mail him... Very poor service from you,SERVICE_COMPLAINT_AND_AGENT_FEEDBACK,False,"Acknowledge the negative experience, apologize sincerely, and ask for further details to improve service."
case_315748,"Hi, I preordered an item that’s going to be released Oct 10, going to order items on Oct 10 again. Can you combine the 2 orders",ORDER_TRACKING_AND_DELIVERY_STATUS,False,Provide the current tracking status and apologize for any delivery delays.
case_2899707,"Spoken to a rep, a Kindle ""expert"" and person in leadership. Asked for next level and am told by a 'leadership' member, Yale, that there is higher level and to make complaint about customer service must send an email to cs-reply. Is that correct?",SERVICE_COMPLAINT_AND_AGENT_FEEDBACK,False,"Acknowledge the negative experience, apologize sincerely, and ask for further details to improve service."
case_2447467,"Why Mr Robot seasson 3 is not available in Colombia? if i can pay, you must to give me the tv serie. Now i quit my amazon account and i will be watch it on illegal way",SUBSCRIPTION_AND_DIGITAL_SERVICES,True,Immediately escalate to the appropriate specialized team (fraud/security/legal) and empathize with the user's distress.
case_471576,Can i just say it’s a bit pointless having an amazon help twitter account when you can’t check individual cases... The whole point of this is to help.,SERVICE_COMPLAINT_AND_AGENT_FEEDBACK,False,"Acknowledge the negative experience, apologize sincerely, and ask for further details to improve service."
case_2790439,how much better is the echo than the echo dot? I'm already thinking of getting one.,SERVICE_COMPLAINT_AND_AGENT_FEEDBACK,False,"Acknowledge the negative experience, apologize sincerely, and ask for further details to improve service."
case_2907814,"Hi, how do I chat online to someone regarding an order? I can't find it on amazon uk.",ORDER_TRACKING_AND_DELIVERY_STATUS,False,Provide the current tracking status and apologize for any delivery delays.
case_787125,my account has been locked pending verification of my CC. I have sent the required fax 3 times. what more do you want?,ACCOUNT_ACCESS_AND_SECURITY,False,Guide the user through account recovery steps or provide a link to the account security team.
case_1953366,"Hallo! Ich hatte mir letztes Jahr im April Kopfhörer bestellt, die jetzt jedoch einen Wackelkontakt haben. Der Verkauf erfolgte durch *MEMORYKING* und der Versand durch Amazon. Wähle ich jetzt unter ""Meine Bestellungen"" die Kopfhörer aus, habe ich keine (1/2)",SERVICE_COMPLAINT_AND_AGENT_FEEDBACK,False,"Acknowledge the negative experience, apologize sincerely, and ask for further details to improve service."
case_714727,why the help 55MUS is not available since one month and online it shows in stock. Wether shut it down or stop busines,PRODUCT_AVAILABILITY_AND_INQUIRY,False,"Provide details on product availability, features, or direct the user to the correct catalog page."
case_2286325,"I was able to get instructions how to cancel my Prime membership in 19 seconds but no help as to why my package that was “out for delivery” was not delivered with 2 other packages I received yesterday. Great work, !!",SUBSCRIPTION_AND_DIGITAL_SERVICES,False,Assist the user with their subscription or digital service query by providing relevant links or steps.
case_1097322,"i love it when your support team transfers me four times to a dead line, really great service",SERVICE_COMPLAINT_AND_AGENT_FEEDBACK,False,"Acknowledge the negative experience, apologize sincerely, and ask for further details to improve service."
case_1140940,"Can't login and having trouble resetting my password, can you assist?",ACCOUNT_ACCESS_AND_SECURITY,False,Guide the user through account recovery steps or provide a link to the account security team.
case_505898,"Your customer service is horrendous, so far the third attempt to resolve an issue is a fail!!!",SERVICE_COMPLAINT_AND_AGENT_FEEDBACK,False,"Acknowledge the negative experience, apologize sincerely, and ask for further details to improve service."
case_2424515,Wow j'ai pris mon essai d'Amazon prime et mon colis arrive quand même en retard? Des explications ??,ORDER_TRACKING_AND_DELIVERY_STATUS,False,Provide the current tracking status and apologize for any delivery delays.
case_2245571,"ricevuta email disattivazione account e rimozione ordine per sospetto accesso non autorizzato. Confermo mio accesso dall’estero, nessuna violazione! Effettuata procedura indicata cambio password NON FUNZIONA da questa mattina!!!!! Restituitemi l’account, please!",ACCOUNT_ACCESS_AND_SECURITY,False,Guide the user through account recovery steps or provide a link to the account security team.
case_2924446,"Yoooo , why was my prime delivery changed from today to FRIDAY? And at the last second too. I was counting on that delivery for something.",ORDER_TRACKING_AND_DELIVERY_STATUS,False,Provide the current tracking status and apologize for any delivery delays.
case_729036,"hey guys, can I use an amazon gift card on tickets.amazon?",PAYMENT_AND_PROMOTIONAL_PRICING,False,"Clarify the billing concern, promotional terms, or payment status clearly."
case_13900,is there a way to know if the Amazon gift cards I send are being used?,PAYMENT_AND_PROMOTIONAL_PRICING,False,"Clarify the billing concern, promotional terms, or payment status clearly."
case_69847,hi an item i orderd says it cannot be delivered and i am to contact amazon for assistance?,PACKAGE_DAMAGED_OR_MISSING,False,Apologize for the issue and offer a prompt replacement or investigation into the missing item.
case_1666571,"Highly disappointed with More than INR 14,000 is to be refunded and no1 cares to revert to a single mail of mine!",SERVICE_COMPLAINT_AND_AGENT_FEEDBACK,False,Provide clear instructions or a direct link for processing the return or refund.
case_391609,Cada vez que España manda algo con todo es un desastre. Tercer pedido con problemas. Lamentable el tema.,SERVICE_COMPLAINT_AND_AGENT_FEEDBACK,False,"Acknowledge the negative experience, apologize sincerely, and ask for further details to improve service."
case_385912,pathetic service. Delivered broken product and not providing replacement of broken product even [LINK],SERVICE_COMPLAINT_AND_AGENT_FEEDBACK,False,Provide clear instructions or a direct link for processing the return or refund.
case_1373646,"i placed a prime now order yesterday (&gt;a day in advance) and requested a 7-9 pm delivery, and it’s now been changed to midnight?",ORDER_TRACKING_AND_DELIVERY_STATUS,False,Provide the current tracking status and apologize for any delivery delays.
case_1595308,4 seperate 1 day orders not arrived yesterday and today - #amazon customer service very poor #prime #primefail,ORDER_TRACKING_AND_DELIVERY_STATUS,False,Provide the current tracking status and apologize for any delivery delays.
case_2621095,I've really been impressed with support lately! [LINK],ORDER_TRACKING_AND_DELIVERY_STATUS,False,Provide the current tracking status and apologize for any delivery delays.
case_381960,- Guys...does Amazon Fire Stick helps me to mirror my android phone on tv,SERVICE_COMPLAINT_AND_AGENT_FEEDBACK,False,"Acknowledge the negative experience, apologize sincerely, and ask for further details to improve service."
case_78879,"Pregunta para ¿Hay alguna forma de que dejar claro que no quiero que me entreguen un paquete en un buzon? Me parece absurdo pagar por un envio o por ser Prime para no tener ni siquiera ese derecho, ¡Que ventajas tenemos los Prime!",SERVICE_COMPLAINT_AND_AGENT_FEEDBACK,False,"Acknowledge the negative experience, apologize sincerely, and ask for further details to improve service."
case_386433,Sellers are not at all responsible for ADDRESS LABEL pick ups related issue. Then why it is counted in RDR?,ORDER_TRACKING_AND_DELIVERY_STATUS,False,Provide the current tracking status and apologize for any delivery delays.
case_2599134,"Hey when will this chair be available in Amazon again? Its out of stock now  ""Amaze"" Folding Easy reclining household living room padded cushion chair-Red [LINK]",PRODUCT_AVAILABILITY_AND_INQUIRY,False,"Provide details on product availability, features, or direct the user to the correct catalog page."
case_1129290,Hi ! I used my personal account to buy a book that I want to read on my work ipad w/ work account. Can we fix this? Tnx!,SERVICE_COMPLAINT_AND_AGENT_FEEDBACK,False,"Acknowledge the negative experience, apologize sincerely, and ask for further details to improve service."
case_1334979,"ORDER # 206-8387037-4784361 STILL not fulfilled. Unsuitable packaging, Broken packaging, Missing order.",PACKAGE_DAMAGED_OR_MISSING,False,Apologize for the issue and offer a prompt replacement or investigation into the missing item.
case_663773,Order # 408-6865546-7929946 Invoice Not Received.. Kindly send invoice..,PACKAGE_DAMAGED_OR_MISSING,False,Apologize for the issue and offer a prompt replacement or investigation into the missing item.
case_537502,"I pre-ordered this in January, released in October, told I would get it in November, but am still waiting, with no estimated delivery date (but other UK sellers have it) [LINK]",ORDER_TRACKING_AND_DELIVERY_STATUS,False,Provide the current tracking status and apologize for any delivery delays.
case_382823,so I have amazon prime and my order was on guaranteed next day delivery well it isn’t here? I needed that order yesterday.,ORDER_TRACKING_AND_DELIVERY_STATUS,False,Provide the current tracking status and apologize for any delivery delays.
case_2830760,"hi there. I think I'm getting emails from someone claiming to be you but I think is spam, is there anywhere I could send them to check?",ACCOUNT_ACCESS_AND_SECURITY,False,Guide the user through account recovery steps or provide a link to the account security team.
case_2363190,"Not once, or twice, but three separate times I've paid for Amazon one day shipping only to get my package after 2-3 days regardless...starting to feel like its a real scam",ORDER_TRACKING_AND_DELIVERY_STATUS,True,Immediately escalate to the appropriate specialized team (fraud/security/legal) and empathize with the user's distress.
case_652,Is it possible to prevent AMZL from delivering my packages moving forward? Stuff is either lost/stolen/broken EVERY time.,PACKAGE_DAMAGED_OR_MISSING,True,Immediately escalate to the appropriate specialized team (fraud/security/legal) and empathize with the user's distress.
case_2478826,I sent x 2 items back to you on 7th November. You have refund one item. The other for £154.99 has not been refund. I’ve been told to wait 7 working days. I’ve waited and still no money in my account. Where is my REFUND AMAZON??? Your custemure service #sucks #terible,SERVICE_COMPLAINT_AND_AGENT_FEEDBACK,False,Provide clear instructions or a direct link for processing the return or refund.
case_631723,Hallo! Wird die Serie Ally MacBeal in näherer Zukunft für Prime Abonnenten in Österreich verfügbar sein?,SERVICE_COMPLAINT_AND_AGENT_FEEDBACK,False,"Acknowledge the negative experience, apologize sincerely, and ask for further details to improve service."
case_942723,your customer service sucks,SERVICE_COMPLAINT_AND_AGENT_FEEDBACK,False,"Acknowledge the negative experience, apologize sincerely, and ask for further details to improve service."
case_2192320,hello - I was wondering - how many days does it take for a gift card refund to be processed on to your account? Thanks in advance,REFUND_AND_RETURN_REQUEST,False,Provide clear instructions or a direct link for processing the return or refund.
case_71935,"Good morning, do you have any information about when will Intel Core i5 8400 CPU be available to buy? Thanks!",PRODUCT_AVAILABILITY_AND_INQUIRY,False,"Provide details on product availability, features, or direct the user to the correct catalog page."
case_367922,"delivery is great &amp; all until the driver decides it’s raining too hard, falsely marks your packages delivered, &amp; leaves😠",PACKAGE_DAMAGED_OR_MISSING,False,Apologize for the issue and offer a prompt replacement or investigation into the missing item.
case_2944355,"Me: The part of your app where I can apply credit card points is broken : I see you're having a credit card issue-call the bank Me: No, your app is broken, here's a screenshot : Here's the # for the CC company (Repeat 2x) Me: Nevermind Target has diapers too",PACKAGE_DAMAGED_OR_MISSING,False,Apologize for the issue and offer a prompt replacement or investigation into the missing item.
case_1013032,Amazon is a liar,SERVICE_COMPLAINT_AND_AGENT_FEEDBACK,False,"Acknowledge the negative experience, apologize sincerely, and ask for further details to improve service."
case_2722652,could we get some proper amazon support over at the UK region as well please?,SERVICE_COMPLAINT_AND_AGENT_FEEDBACK,False,"Acknowledge the negative experience, apologize sincerely, and ask for further details to improve service."
case_930403,if I bought a ps4 plus membership download code (rather than physical card) can I give that code to someone else (Christmas etc) or would the code need to be applied straightaway?,SUBSCRIPTION_AND_DIGITAL_SERVICES,False,Assist the user with their subscription or digital service query by providing relevant links or steps.
case_470192,"Sir your is Pathetic, they have kept two ""Customer Care Numbers"" 180030009009 and 18004197355"" but no executive take calls and after the recorded blah blah the call gets disconnected. it's tarnishing your Co's image in India",SERVICE_COMPLAINT_AND_AGENT_FEEDBACK,False,"Acknowledge the negative experience, apologize sincerely, and ask for further details to improve service."
case_477710,Your customer service team are the worst I have ever dealt with. You keep answering with the same information that does not apply to my issue. Appalling.,SERVICE_COMPLAINT_AND_AGENT_FEEDBACK,False,"Acknowledge the negative experience, apologize sincerely, and ask for further details to improve service."
case_475064,ordered on .co.uk with prime delivery on Wednesday at around 3pm. Possibly won’t have until the 5th? No explanation given as to why 😔 [LINK],ORDER_TRACKING_AND_DELIVERY_STATUS,False,Provide the current tracking status and apologize for any delivery delays.
case_1953639,"Dear team, I have recharged my Jio number on 9th Nov having cashback of Rs 99 but I have received cash back of only Rs 20. I have confirmed through customer care before recharge and they have committed for cashback of Rs 99.",REFUND_AND_RETURN_REQUEST,False,Provide clear instructions or a direct link for processing the return or refund.
case_2592138,"Hi Amazon, I never received a package that says delivered it's been 3 days since it says it was delivered to my address if u could help that would be great",PACKAGE_DAMAGED_OR_MISSING,False,Apologize for the issue and offer a prompt replacement or investigation into the missing item.
case_2807275,"Hi, my amazon account has had its email address changed by a hacker and I can't get in, how do I report this?",SERVICE_COMPLAINT_AND_AGENT_FEEDBACK,False,"Acknowledge the negative experience, apologize sincerely, and ask for further details to improve service."
case_2226807,hi I've unsubscribed many times to Amazon tickets and I still get the emails every day- please help I don't want to have them!!,SUBSCRIPTION_AND_DIGITAL_SERVICES,False,Assist the user with their subscription or digital service query by providing relevant links or steps.
case_2292683,"I have a problem i have reset my password but i have the msg ""Your password is incorect "" can you help me ?",ACCOUNT_ACCESS_AND_SECURITY,False,Guide the user through account recovery steps or provide a link to the account security team.
case_2355290,Your customer service sucks.,SERVICE_COMPLAINT_AND_AGENT_FEEDBACK,False,"Acknowledge the negative experience, apologize sincerely, and ask for further details to improve service."
case_1671307,I have these exact tires on my vehicle but you guys say they don’t fit? Am I missing something? [LINK],PACKAGE_DAMAGED_OR_MISSING,False,Apologize for the issue and offer a prompt replacement or investigation into the missing item.
case_590820,can someone call me immediately? I have spent an hour trying to sort my late items on chat and phone. You just cut me off. I'm so fed up,SERVICE_COMPLAINT_AND_AGENT_FEEDBACK,False,Provide the current tracking status and apologize for any delivery delays.
case_586847,"MRP means ""Maximum Retail Price"". How can a seller sell a product at a price higher than MRP on your platform. This needs to be regulated. #Amazon  *Refer to my previous tweet for details*",ORDER_TRACKING_AND_DELIVERY_STATUS,False,Provide the current tracking status and apologize for any delivery delays.
case_1139784,Never buy from .Estimated delivery date was 23rd Oct but have not received the product yet.Proofs are attached below. [LINK],PACKAGE_DAMAGED_OR_MISSING,False,Apologize for the issue and offer a prompt replacement or investigation into the missing item.
case_2884066,". please provide a smooth delivery of my product Your boys delivered goods at this address prior,but now my address is not locating.Check your distribution/delivery depmnt many companies sank due to this.Solve my issue ASAP [LINK]",PACKAGE_DAMAGED_OR_MISSING,False,Apologize for the issue and offer a prompt replacement or investigation into the missing item.
case_1208364,"I left specific instructions for my delivery, Item was not received and it says delivered.  Order# 114-6470303-3753861",PACKAGE_DAMAGED_OR_MISSING,False,Apologize for the issue and offer a prompt replacement or investigation into the missing item.
case_2917148,Why do I have £1 pending in my bank account from you when I haven't bought anything???,SERVICE_COMPLAINT_AND_AGENT_FEEDBACK,False,"Acknowledge the negative experience, apologize sincerely, and ask for further details to improve service."
case_2171426,Worst service I never expected from you,SERVICE_COMPLAINT_AND_AGENT_FEEDBACK,False,"Acknowledge the negative experience, apologize sincerely, and ask for further details to improve service."
